ความถี่,อุปกรณ์,วันที่ตรวจสอบ,หน่วยงานผู้ใช้คลื่น,ผู้ใช้งานในพื้นที่
144.3875,R-TCI-Korat,03/01/2566 00:00:00,กิจการวิทยุสมัครเล่น,นักวิทยุสมัครเล่นในพื้นที่
144.4625,R-TCI-Korat,03/01/2566 00:00:00,กิจการวิทยุสมัครเล่น,นักวิทยุสมัครเล่นในพื้นที่
144.6250,R-TCI-Korat,03/01/2566 00:00:00,กิจการวิทยุสมัครเล่น,นักวิทยุสมัครเล่นในพื้นที่
144.8750,R-TCI-Korat,03/01/2566 00:00:00,กิจการวิทยุสมัครเล่น,นักวิทยุสมัครเล่นในพื้นที่
144.9750,R-TCI-Korat,03/01/2566 00:00:00,กิจการวิทยุสมัครเล่น,นักวิทยุสมัครเล่นในพื้นที่
145.1000,R-TCI-Korat,03/01/2566 00:00:00,กิจการวิทยุสมัครเล่น,RX REPEATER สมาคมวิทยุสมัครเล่นนครราชสีมา
145.2625,R-TCI-Korat,03/01/2566 00:00:00,กิจการวิทยุสมัครเล่น,นักวิทยุสมัครเล่นในพื้นที่
145.2750,R-TCI-Korat,03/01/2566 00:00:00,กิจการวิทยุสมัครเล่น,นักวิทยุสมัครเล่นในพื้นที่
145.3250,R-TCI-Korat,03/01/2566 00:00:00,กิจการวิทยุสมัครเล่น,นักวิทยุสมัครเล่นในพื้นที่
145.6875,R-TCI-Korat,03/01/2566 00:00:00,กิจการวิทยุสมัครเล่น,นักวิทยุสมัครเล่นในพื้นที่
145.7000,R-TCI-Korat,03/01/2566 00:00:00,กิจการวิทยุสมัครเล่น,TX REPEATER สมาคมวิทยุสมัครเล่นนครราชสีมา
145.7125,R-TCI-Korat,03/01/2566 00:00:00,กิจการวิทยุสมัครเล่น,นักวิทยุสมัครเล่นในพื้นที่
162.1250,R-TCI-Korat,03/01/2566 00:00:00,"กรมการปกครอง, องค์กรปกครองส่วนท้องถิ่น, กรุงเทพมหานคร, สำนักงานเทศบาลตำบลบางกะจะ (จันทบุรี), สำนักงานเทศบาลเมืองพะเยา, เทศบาลตำบลบ้านสาง, เทศบาลตำบลเสม็ด, องค์การบริหารส่วนตำบลลุโบะบายะ, องค์การบริหารส่วนตำบลโต๊ะเด็ง, เทศบาลตำบลแม่กา, องค์การบริหารส่วนตำบลพร่อน, องค์การบริหารส่วนตำบลปะอาว, องค์การบริหารส่วนตำบลสวด, องค์การบริหารส่วนตำบลสามควายเผือก, เทศบาลเมืองบ้านโป่ง, เทศบาลตำบลดอนหัวฬ่อ (ชลบุรี), เทศบาลตำบลตลาดเกรียบ (พระนครศรีอยุธยา), องค์การบริหารส่วนตำบลนาประดู่, องค์การบริหารส่วนตำบลไผ่เข",องค์การบริหารส่วนตำบลกำปัง
162.2250,R-TCI-Korat,03/01/2566 00:00:00,"องค์กรปกครองส่วนท้องถิ่น, สำนักงานเทศบาลตำบลบางกะจะ (จันทบุรี), สำนักงานเทศบาลเมืองพะเยา, เทศบาลตำบลบ้านสาง, เทศบาลตำบลเสม็ด, องค์การบริหารส่วนตำบลลุโบะบายะ, องค์การบริหารส่วนตำบลโต๊ะเด็ง, เทศบาลตำบลแม่กา, องค์การบริหารส่วนตำบลพร่อน, องค์การบริหารส่วนตำบลปะอาว, องค์การบริหารส่วนตำบลสวด, เทศบาลเมืองบ้านโป่ง, เทศบาลตำบลดอนหัวฬ่อ (ชลบุรี), องค์การบริหารส่วนตำบลนาประดู่, องค์การบริหารส่วนตำบลไผ่เขียว, เทศบาลตำบลดอนศิลา, องค์การบริหารส่วนตำบลออย, เทศบาลเมืองขลุง (จันทบุรี), เทศบาลตำบลบ้านแม, เทศบาลตำ",องค์กรปกครองส่วนท้องถิ่น ในพื้นที่
162.7500,R-TCI-Korat,03/01/2566 00:00:00,กรมสื่อสารอิเล็กทรอนิกส์ทหารอากาศ กองทัพอากาศ,กองบิน1
165.3500,R-TCI-Korat,03/01/2566 00:00:00,กรมการสื่อสารทหาร,กรมการทหารสื่อสาร(นครราชสีมา)
165.4000,R-TCI-Korat,03/01/2566 00:00:00,การรถไฟแห่งประเทศไทย,ร.ฟ.ท นครราชสีมา
168.4750,R-TCI-Korat,03/01/2566 00:00:00,"มูลนิธิประชานุกูลราชบุรี, มูลนิธิระนองสงเคราะห์, มูลนิธิกู้ภัยอรัญประเทศ, มูลนิธิมหากุศลใต้เต็กเซี่ยงตึ้งนครศรีธรรมราช, สมาคมกู้ภัยใต้กตัญญู, สมาคมสว่างกตัญญูธรรมสถาน (เม่ง หงี ตั๊ว), มูลนิธิมิตรภาพมงคลธรรม, มูลนิธิสว่างเที่ยงธรรมสถาน (เม่งเจี่ยเซี่ยงตั๊ว", มูลนิธิสว่างจรรยาธรรมสถาน
168.8750,R-TCI-Korat,03/01/2566 00:00:00,มหาวิทยาลัยสงขลานครินทร์,มหาวิทยาลัยเทคโนโลยีสุรนารี
170.0000,R-TCI-Korat,03/01/2566 00:00:00,"การรถไฟแห่งประเทศไทย, กรมอุตุนิยมวิทยา",การรถไฟแห่งประเทศไทย 
171.0000,R-TCI-Korat,03/01/2566 00:00:00,"บริษัท กสท โทรคมนาคม จำกัด (มหาชน), กรมประชาสัมพันธ์, การรถไฟแห่งประเทศไทย, บริษัท อสมท จำกัด (มหาชน), บริษัท กรุงเทพโทรทัศน์และวิทยุ จำกัด (BBTV), กรมการทหารสื่อสาร กองทัพบก",ระบบอานัติสัญญาณ
171.3500,R-TCI-Korat,03/01/2566 00:00:00,"กรมประชาสัมพันธ์, บริษัท อสมท จำกัด (มหาชน), บริษัท กรุงเทพโทรทัศน์และวิทยุ จำกัด (BBTV), กรมการทหารสื่อสาร กองทัพบก, การไฟฟ้าส่วนภูมิภาค",ระบบอานัติสัญญาณ
171.3625,R-TCI-Korat,03/01/2566 00:00:00,"กรมประชาสัมพันธ์, บริษัท อสมท จำกัด (มหาชน), บริษัท กรุงเทพโทรทัศน์และวิทยุ จำกัด (BBTV), กรมการทหารสื่อสาร กองทัพบก",บริษัท โทรคมนาคมแห่งชาติ จำกัด (มหาชน)
171.3750,R-TCI-Korat,03/01/2566 00:00:00,"บริษัท กสท โทรคมนาคม จำกัด (มหาชน), กรมประชาสัมพันธ์, บริษัท อสมท จำกัด (มหาชน), บริษัท กรุงเทพโทรทัศน์และวิทยุ จำกัด (BBTV), กรมการทหารสื่อสาร กองทัพบก",ระบบอานัติสัญญาณ
172.8000,R-TCI-Korat,03/01/2566 00:00:00,"กรมประชาสัมพันธ์, บริษัท ทีโอที จำกัด (มหาชน), บริษัท อสมท จำกัด (มหาชน), สำนักงานราชเลขานุการในพระองค์สมเด็จพระบรมโอรสาธิราชฯ สยามมกุฏราชกุมาร, บริษัท กรุงเทพโทรทัศน์และวิทยุ จำกัด (BBTV), กรมการทหารสื่อสาร กองทัพบก",ระบบอานัติสัญญาณ
173.4750,R-TCI-Korat,03/01/2566 00:00:00,"สมาคมหนองคายการกุศล, มูลนิธิร่วมด้วยช่วยกันสำนึกรักบ้านเกิด, มูลนิธิสุรินทร์สามัคคีกุศลสถานสงเคราะห์, กรมประชาสัมพันธ์, สมาคมสว่างนครลำปางธรรมสถาน, มูลนิธิสยามระยอง, สมาคมหน่วยกู้ภัยข่าวภาพกำแพงเพชร, บริษัท ทีโอที จำกัด (มหาชน), สมาคมกู้ภัยบุญช่วยเหลือจังหวัดตาก, สมาคมกู้ภัยข่าวภาพ พิษณุโลก, บริษัท อสมท จำกัด (มหาชน), มูลนิธิร่มโพธิ์เพชรบูรณ์, บริษัท กรุงเทพโทรทัศน์และวิทยุ จำกัด (BBTV), สมาคมกู้ภัยวัดป่าสว่างพร, สมาคมกู้ภัยตากสามัคคี, มูลนิธิวัดดอนขมิ้น ๒๕๕๕, สมาคมพุทธสมาคมสว่างเหตุธรรมสถาน, กร",มูลนิธิกู้ภัย(ปักธงชัย)