freq,institution,usage
144.3875,กิจการวิทยุสมัครเล่น,นักวิทยุสมัครเล่นในพื้นที่
144.4625,กิจการวิทยุสมัครเล่น,นักวิทยุสมัครเล่นในพื้นที่
144.625,กิจการวิทยุสมัครเล่น,นักวิทยุสมัครเล่นในพื้นที่
144.875,กิจการวิทยุสมัครเล่น,นักวิทยุสมัครเล่นในพื้นที่
144.975,กิจการวิทยุสมัครเล่น,นักวิทยุสมัครเล่นในพื้นที่
145.1,กิจการวิทยุสมัครเล่น,RX REPEATER สมาคมวิทยุสมัครเล่นนครราชสีมา
145.2625,กิจการวิทยุสมัครเล่น,นักวิทยุสมัครเล่นในพื้นที่
145.275,กิจการวิทยุสมัครเล่น,นักวิทยุสมัครเล่นในพื้นที่
145.325,กิจการวิทยุสมัครเล่น,นักวิทยุสมัครเล่นในพื้นที่
145.6875,กิจการวิทยุสมัครเล่น,นักวิทยุสมัครเล่นในพื้นที่
145.7,กิจการวิทยุสมัครเล่น,TX REPEATER สมาคมวิทยุสมัครเล่นนครราชสีมา
145.7125,กิจการวิทยุสมัครเล่น,นักวิทยุสมัครเล่นในพื้นที่
162.125,"กรมการปกครอง, องค์กรปกครองส่วนท้องถิ่น, กรุงเทพมหานคร, สำนักงานเทศบาลตำบลบางกะจะ (จันทบุรี), สำนักงานเทศบาลเมืองพะเยา, เทศบาลตำบลบ้านสาง, เทศบาลตำบลเสม็ด, องค์การบริหารส่วนตำบลลุโบะบายะ, องค์การบริหารส่วนตำบลโต๊ะเด็ง, เทศบาลตำบลแม่กา, องค์การบริหารส่วนตำบลพร่อน, องค์การบริหารส่วนตำบลปะอาว, องค์การบริหารส่วนตำบลสวด, องค์การบริหารส่วนตำบลสามควายเผือก, เทศบาลเมืองบ้านโป่ง, เทศบาลตำบลดอนหัวฬ่อ (ชลบุรี), เทศบาลตำบลตลาดเกรียบ (พระนครศรีอยุธยา), องค์การบริหารส่วนตำบลนาประดู่, องค์การบริหารส่วนตำบลไผ่เข",องค์การบริหารส่วนตำบลกำปัง
162.225,"องค์กรปกครองส่วนท้องถิ่น, สำนักงานเทศบาลตำบลบางกะจะ (จันทบุรี), สำนักงานเทศบาลเมืองพะเยา, เทศบาลตำบลบ้านสาง, เทศบาลตำบลเสม็ด, องค์การบริหารส่วนตำบลลุโบะบายะ, องค์การบริหารส่วนตำบลโต๊ะเด็ง, เทศบาลตำบลแม่กา, องค์การบริหารส่วนตำบลพร่อน, องค์การบริหารส่วนตำบลปะอาว, องค์การบริหารส่วนตำบลสวด, เทศบาลเมืองบ้านโป่ง, เทศบาลตำบลดอนหัวฬ่อ (ชลบุรี), องค์การบริหารส่วนตำบลนาประดู่, องค์การบริหารส่วนตำบลไผ่เขียว, เทศบาลตำบลดอนศิลา, องค์การบริหารส่วนตำบลออย, เทศบาลเมืองขลุง (จันทบุรี), เทศบาลตำบลบ้านแม, เทศบาลตำ",องค์กรปกครองส่วนท้องถิ่น ในพื้นที่
162.75,กรมสื่อสารอิเล็กทรอนิกส์ทหารอากาศ กองทัพอากาศ,กองบิน1
165.35,กรมการสื่อสารทหาร,กรมการทหารสื่อสาร(นครราชสีมา)
165.4,การรถไฟแห่งประเทศไทย,ร.ฟ.ท นครราชสีมา
168.475,"มูลนิธิประชานุกูลราชบุรี, มูลนิธิระนองสงเคราะห์, มูลนิธิกู้ภัยอรัญประเทศ, มูลนิธิมหากุศลใต้เต็กเซี่ยงตึ้งนครศรีธรรมราช, สมาคมกู้ภัยใต้กตัญญู, สมาคมสว่างกตัญญูธรรมสถาน (เม่ง หงี ตั๊ว), มูลนิธิมิตรภาพมงคลธรรม, มูลนิธิสว่างเที่ยงธรรมสถาน (เม่งเจี่ยเซี่ยงตั๊ว", มูลนิธิสว่างจรรยาธรรมสถาน
168.875,มหาวิทยาลัยสงขลานครินทร์,มหาวิทยาลัยเทคโนโลยีสุรนารี
170.0,"การรถไฟแห่งประเทศไทย, กรมอุตุนิยมวิทยา",การรถไฟแห่งประเทศไทย 
171.0,"บริษัท กสท โทรคมนาคม จำกัด (มหาชน), กรมประชาสัมพันธ์, การรถไฟแห่งประเทศไทย, บริษัท อสมท จำกัด (มหาชน), บริษัท กรุงเทพโทรทัศน์และวิทยุ จำกัด (BBTV), กรมการทหารสื่อสาร กองทัพบก",ระบบอานัติสัญญาณ
171.35,"กรมประชาสัมพันธ์, บริษัท อสมท จำกัด (มหาชน), บริษัท กรุงเทพโทรทัศน์และวิทยุ จำกัด (BBTV), กรมการทหารสื่อสาร กองทัพบก, การไฟฟ้าส่วนภูมิภาค",ระบบอานัติสัญญาณ
171.3625,"กรมประชาสัมพันธ์, บริษัท อสมท จำกัด (มหาชน), บริษัท กรุงเทพโทรทัศน์และวิทยุ จำกัด (BBTV), กรมการทหารสื่อสาร กองทัพบก",บริษัท โทรคมนาคมแห่งชาติ จำกัด (มหาชน)
171.375,"บริษัท กสท โทรคมนาคม จำกัด (มหาชน), กรมประชาสัมพันธ์, บริษัท อสมท จำกัด (มหาชน), บริษัท กรุงเทพโทรทัศน์และวิทยุ จำกัด (BBTV), กรมการทหารสื่อสาร กองทัพบก",ระบบอานัติสัญญาณ
172.8,"กรมประชาสัมพันธ์, บริษัท ทีโอที จำกัด (มหาชน), บริษัท อสมท จำกัด (มหาชน), สำนักงานราชเลขานุการในพระองค์สมเด็จพระบรมโอรสาธิราชฯ สยามมกุฏราชกุมาร, บริษัท กรุงเทพโทรทัศน์และวิทยุ จำกัด (BBTV), กรมการทหารสื่อสาร กองทัพบก",ระบบอานัติสัญญาณ
173.475,"สมาคมหนองคายการกุศล, มูลนิธิร่วมด้วยช่วยกันสำนึกรักบ้านเกิด, มูลนิธิสุรินทร์สามัคคีกุศลสถานสงเคราะห์, กรมประชาสัมพันธ์, สมาคมสว่างนครลำปางธรรมสถาน, มูลนิธิสยามระยอง, สมาคมหน่วยกู้ภัยข่าวภาพกำแพงเพชร, บริษัท ทีโอที จำกัด (มหาชน), สมาคมกู้ภัยบุญช่วยเหลือจังหวัดตาก, สมาคมกู้ภัยข่าวภาพ พิษณุโลก, บริษัท อสมท จำกัด (มหาชน), มูลนิธิร่มโพธิ์เพชรบูรณ์, บริษัท กรุงเทพโทรทัศน์และวิทยุ จำกัด (BBTV), สมาคมกู้ภัยวัดป่าสว่างพร, สมาคมกู้ภัยตากสามัคคี, มูลนิธิวัดดอนขมิ้น ๒๕๕๕, สมาคมพุทธสมาคมสว่างเหตุธรรมสถาน, กร",มูลนิธิกู้ภัย(ปักธงชัย)
